lang,key,labse_score,cometkiwi_score,avg_score,fr,en,translation,back_translate,overlap
vi,game:game.cogTask.antisaccade.proMeanRt,0.46,0.323,0.3915,Pro-saccade RT moyen,Mean pro-saccade RT,Có nghĩa là ủng hộ RT,which means supporting rt,0.33
fa,game:game.dichoticListening.attendedAccuracy,0.407,0.378,0.39249999999999996,Précision (canal cible),Attended Accuracy,دقت توجه شده,attention to detail,0.00
ur,settings:settings.corsi.startSpan,0.433,0.355,0.394,Empan de départ,Starting span,مدت الابتدائي,initial period,0.00
ur,game:game.cogTask.startingSpan,0.433,0.355,0.394,Empan de départ,Starting span,مدت الابتدائي,initial period,0.00
sw,home:home.simulators.brainWorkshopShort,0.433,0.356,0.39449999999999996,Application open source de référence,Reference open-source app,Rejelea programu huria,refer to open source software,0.00
fi,game:game.cogTask.longestStreak,0.429,0.361,0.395,Plus longue série correcte,Longest correct streak,Pisin oikea putki,the longest right pipe,0.33
de,settings:settings.gameMode.judgmentOfRecency,0.42,0.372,0.396,Jugement de récence,Judgment of Recency,Aktualitätsbeurteilung,currentness assessment,0.00
el,game:game.syncHud.labels.lagHide,0.35,0.442,0.396,retard masquage,Retard masquage,Καθυστέρηση μασάζ,massage delay,0.00
ta,game:replay.hud.counterDisplay,0.439,0.353,0.396,Affichage compteur,Counter display,எதிர் காட்சி,the opposite scenario,0.00
km,game:game.dichoticListening.attendedAccuracy,0.414,0.379,0.39649999999999996,Précision (canal cible),Attended Accuracy,ភាពត្រឹមត្រូវដែលយកចិត្ត,accurate mindfulness,0.00
my,game:game.dichoticListening.attendedAcc,0.322,0.471,0.39649999999999996,Précision attention,Attended accuracy,တက်ပြီး တိကျတယ်။,up and accurate.,0.00
pl,settings:settings.gameMode.judgmentOfRecency,0.461,0.332,0.3965,Jugement de récence,Judgment of Recency,Ocena kolejności,sequence rating,0.00
mr,settings:settings.gameMode.tierIncontournable,0.323,0.471,0.397,Incontournables,Must-haves,असणे आवश्यक आहे,must be,0.00
id,game:game.aria.traceGrid,0.457,0.338,0.3975,Grille de tracé,Trace grid,Lacak jaringan,track network,0.00
zh,game:game.anagram.avgSolve,0.471,0.326,0.39849999999999997,Résolution moy.,Avg. solve,平均解题,average problem solving,0.00
cs,game:game.consequences.avgPerRound,0.483,0.315,0.399,Moy. par manche,Avg. per round,Prům. za kolo,avg. for the bike,0.33
ta,game:game.beadsTask.title,0.447,0.352,0.39949999999999997,Tâche des perles,Beads Task,மணிகள் பணி,bells work,0.00
hu,settings:settings.legal.title,0.372,0.427,0.39949999999999997,Informations légales,Legal information,Jogi,yogi,0.00
ta,settings:settings.gameMode.beadsTask,0.447,0.352,0.39949999999999997,Tâche des perles,Beads Task,மணிகள் பணி,bells work,0.00
zh,stats:report.corsi.performanceBySpan,0.403,0.396,0.3995,Performance par empan,Performance by span,各广度表现,performance in each breadth,0.33
