lang,key,labse_score,cometkiwi_score,avg_score,fr,translation
ur,settings:settings.audio.noiseLevel,0.724,0.433,0.5785,Niveau de bruit,لیول الضوضاء
bn,stats:stats.contextual.sublines.analystFallback,0.66,0.497,0.5785,"{{correct}} bonnes réponses, {{errors}} erreurs. Cherchez d'abord le type d'erreur dominant.","{{correct}} সঠিক প্রতিক্রিয়া, {{errors}} ত্রুটি। টিপ: প্যাটার্নটি বাদ দেওয়া বা অ-লক্ষ্য কিনা তা সনাক্ত করুন।"
km,stats:stats.mode.ospanDesc,0.719,0.438,0.5785,Empan complexe : équations + rappel de lettres,វិសាលភាពស្មុគស្មាញ៖ សមីការ + ការរំលឹកសំបុត្រ
ms,game:game.inspectionTime.minCorrectIt,0.794,0.363,0.5785,TI min. correcte,Min betul IT
ro,tutorial:tutorial.report.statusMessage.up,0.668,0.489,0.5785,Bien joue. Vous avez valide le tutoriel.,Foarte bine. Ai trecut tutorialul.
nl,stats:report.goNogo.inhibitionControl,0.755,0.402,0.5785,Contrôle d'inhibition,Inhibitiecontrole
ta,settings:settings.mirror.patternsDesc,0.735,0.422,0.5785,Nombre de motifs à reproduire par session.,ஒரு அமர்வுக்கு இனப்பெருக்கம் செய்வதற்கான வடிவங்களின் எண்ணிக்கை.
ro,stats:stats.contextual.sublines.simpleModalityWeakV1,0.769,0.388,0.5785,{{modality}} : {{hits}}/{{total}} (canal à renforcer).,{{modality}}: {{hits}}/{{total}} (are nevoie de lucru).
no,stats:stats.advanced.passRate,0.675,0.482,0.5785,Taux de réussite,bestått rate
sv,auth:auth.toast.loginSuccess,0.676,0.481,0.5785,Connexion réussie !,Inloggad!
fi,settings:settings.modeSections.brainworkshop.generator.subtitle,0.685,0.472,0.5785,"Matches garantis, interférence et multi-stimulus","Taatut vastaavuudet, häiriö ja moniärsyke"
sw,settings:settings.gridlock.assistanceDesc,0.763,0.394,0.5785,"Ajuste les budgets d'indices, d'annulations et de réinitialisations. Généreux donne 1,5×, Strict donne 0,5×.","Dokezo la mizani, tengua na uweke upya bajeti. Mkarimu anatoa 1.5×, Mkali anatoa 0.5×."
ro,game:game.twentyQuestions.avgQuestionsUsed,0.718,0.439,0.5785,Questions utilisées moy.,Întrebări medii utilizate
ur,game:game.dualTrack.distractorsCountLabel,0.709,0.448,0.5785,{{count}} distracteurs,{{count}} مشتتات
da,settings:settings.custom.lureProbability,0.72,0.437,0.5785,Probabilité leurre,Lokke sandsynlighed
fi,game:game.common.falseAlarmRate,0.7,0.457,0.5785,Taux de fausses alarmes,Väärä hälytystaajuus
my,journey:journey.progression.brainworkshop.description,0.55,0.607,0.5785,Protocole Brain Workshop :,ဦးနှောက်အလုပ်ရုံဆွေးနွေးပွဲ ပရိုတိုကော (BW ရမှတ်)-
no,stats:stats.simple.passRate,0.675,0.482,0.5785,Taux de réussite,bestått rate
id,settings:settings.trace.mindfulPositionDuration,0.678,0.479,0.5785,Cible geste / maintien,Gestur/tahan target
tr,game:game.puzzle.totalMoves,0.749,0.408,0.5785,Mouvements totaux,Toplam hamle
sw,game:game.aria.trialTimer,0.564,0.593,0.5785,Minuteur d'essai,Kipima muda cha majaribio
sw,game:game.temporalGeneralization.title,0.691,0.466,0.5785,Generalisation temporelle,Ujumla wa Muda
id,game:game.oddOneOut.colorDiffAccuracy,0.762,0.395,0.5785,Précision couleur,Perbedaan warna. akurasi
no,game:game.perspectiveTaking.withinTolerance,0.782,0.375,0.5785,Dans la tolérance,Innenfor toleranse
da,game:game.oddOneOut.shapeDiffAccuracy,0.754,0.403,0.5785,Préc. diff. de forme,Form diff. nøjagtighed
my,tutorial:tutorial.annotations.noMatch6,0.706,0.451,0.5785,"Aucun match. Gardez le cap, vous maîtrisez le rythme.","ကိုက်ညီမှု မရှိပါ။ ဆက်သွားပါ, rhythm ရပြီ။"
ur,settings:settings.gridlock.profile,0.666,0.491,0.5785,Profil de difficulté,ملف مشکل
ar,settings:settings.ufov.distractorsDesc,0.778,0.379,0.5785,Nombre de distracteurs dans la sous-tâche d'attention sélective.,عدد المشتتات في المهمة الفرعية للانتباه الانتقائي.
ms,game:game.cogTask.stopSignal.successfulInhibition,0.746,0.412,0.579,Inhibition réussie,Perencatan yang berjaya
te,settings:settings.visual.gridScale,0.742,0.416,0.579,Échelle de la grille,గ్రిడ్ స్కేల్
en,game:game.dotProbe.congruentAcc,0.665,0.493,0.579,Préc. congruente,Congruent Acc
bn,game:game.ambiguousFigures.switchesCount,0.755,0.403,0.579,s | Basculements :,s | সুইচ:
pl,stats:stats.modeScore.Libre,0.612,0.546,0.579,Score personnalisé,Wynik własny
ur,stats:stats.tooltips.targetsDesc,0.781,0.377,0.579,"Pourcentage d'essais où le stimulus actuel correspond à celui d'il y a N tours. Ce sont les ""matchs"" à détecter.","فیصد کا ٹرائلز جہاں موجودہ محرک مماثلتیں one سے N turns ago۔ These ہیں ""مماثلتیں"" کو پہچانیں۔"
fi,game:game.dotProbe.congruentAcc,0.665,0.493,0.579,Préc. congruente,Congruent Acc
ta,settings:settings.gameMode.affectiveGoNogo,0.791,0.367,0.579,Go/No-Go affectif,Go/No-Go
te,stats:report.goNogo.falseAlarms,0.729,0.429,0.579,Fausses alarmes,తప్పుడు అలారాలు
nl,game:game.syncHud.pinTitle,0.744,0.414,0.579,Épingler à l'écran,Vastzetten op scherm
mr,game:game.chainRecall.title,0.666,0.492,0.579,Rappel en chaîne,चेन रिकॉल
hi,game:game.chainRecall.title,0.666,0.492,0.579,Rappel en chaîne,चेन रिकॉल
fi,game:game.oddOneOut.colorDiffAvgRt,0.736,0.422,0.579,TR moy. couleur,Väriero. keskim. RT
hu,game:game.predictionMotion.title,0.752,0.406,0.579,Prediction de mouvement,Mozgásbecslés
vi,game:trace.guide.holdMindful,0.79,0.368,0.579,Maintenez la cellule pendant {{seconds}}s,Giữ ô trong {{seconds}}s
cs,settings:settings.personalization.accentTheme,0.652,0.506,0.579,Par défaut (thème),Výchozí motiv
tr,tutorial:tutorial.report.header.up,0.731,0.427,0.579,Tutoriel réussi !,Öğretici tamamlandı!
it,game:game.dualTrack.roundsAnalyzed,0.745,0.413,0.579,Manches analysées,Turni analizzati
mr,home:ospan.measure.retestDesc,0.785,0.373,0.579,Seules les passations valides alimentent l'empan actuel et la courbe d'évolution.,वर्तमान कालावधी आणि उत्क्रांती चार्टमध्ये केवळ वैध प्रशासन योगदान देतात.
de,game:game.feelingOfKnowing.recallAccuracy,0.739,0.419,0.579,Précision de rappel,Erinnerungsgenauigkeit
th,game:game.twentyQuestions.avgQuestionsCorrectOnly,0.737,0.421,0.579,Questions moy. (correctes),เฉลี่ย คำถาม (ถูกต้องเท่านั้น)
ta,game:game.affectiveGoNogo.title,0.791,0.367,0.579,Go/No-Go affectif,Go/No-Go
it,settings:settings.gridlock.showMoveCounter,0.779,0.379,0.579,Afficher le compteur de coups,Mostra il contatore mosse
de,game:game.rebusPuzzles.avgSolveTime,0.737,0.421,0.579,Temps de résolution moy.,Ø Lösungszeit
ms,game:game.reversalLearning.avgTrialsToCriterion,0.668,0.49,0.579,Essais moy. au critère,Purata percubaan kepada kriteria
de,game:game.remoteAssociates.avgSolveTime,0.737,0.421,0.579,Temps de résolution moy.,Ø Lösungszeit
ar,settings:settings.about.adminActive,0.733,0.425,0.579,Accès administrateur activé,تم تفعيل صلاحيات المسؤول
sw,game:game.symbolSearch.searchGroup,0.745,0.413,0.579,Groupe de recherche,Tafuta kikundi
bn,settings:settings.placementModeDesc,0.664,0.494,0.579,L'ordre dans lequel placer les stimuli,যে ক্রমে উদ্দীপক স্থাপন করতে হবে
km,settings:settings.gameMode.paperFoldingDesc,0.746,0.412,0.579,Prédisez les motifs de trous après pliage mental.,ទស្សន៍ទាយលំនាំរន្ធបន្ទាប់ពីបត់ក្រដាសផ្លូវចិត្ត។
vi,stats:stats.report.falseAlarms,0.67,0.488,0.579,Fausses Alarmes,Báo động giả
zh,game:game.ufov.whatWasInTheCenter,0.789,0.369,0.579,Qu'y avait-il au centre ?,中间是什么？
vi,settings:settings.dyslatéralisation.mirrorTimeline,0.71,0.448,0.579,Ligne du temps miroir,Dòng thời gian phản chiếu
ro,settings:settings.gameMode.paperFoldingDesc,0.759,0.399,0.579,Prédisez les motifs de trous après pliage mental.,Preziceți modelele de găuri după ce îndoiți mental hârtia.
te,badges:badges.first_session.name,0.627,0.531,0.579,Neurone en Éveil,మేల్కొన్న న్యూరాన్
sw,common:aria.scrollRight,0.744,0.414,0.579,Défiler vers la droite,Sogeza kulia
uk,game:game.cogTask.dotProbe.heroTitle,0.712,0.446,0.579,Sonde attentionnelle,Точковий зонд
mr,home:ospan.measure.nextMeasureDesc,0.785,0.373,0.579,Seules les passations valides alimentent l'empan actuel et la courbe d'évolution.,वर्तमान कालावधी आणि उत्क्रांती चार्टमध्ये केवळ वैध प्रशासन योगदान देतात.
de,game:game.judgmentOfLearning.recallAccuracy,0.739,0.419,0.579,Précision de rappel,Erinnerungsgenauigkeit
nl,stats:stats.contextual.headlines.abandonedV2,0.705,0.453,0.579,Partie incomplète,Onvolledige sessie
pl,game:game.mirror.avgCorrectCells,0.706,0.452,0.579,Cases correctes (moy.),Poprawne pola (śr.)
km,game:game.rhythm.avgTimingError,0.7,0.458,0.579,Erreur de timing moy.,កំហុសកំណត់ពេលមធ្យម
vi,tutorial:tutorial.report.header.up,0.72,0.438,0.579,Tutoriel réussi !,Hoàn thành hướng dẫn!
de,stats:report.corsi.performanceBySpan,0.566,0.593,0.5794999999999999,Performance par empan,Leistung nach Spanne
no,game:game.cognitiveBias.title,0.69,0.469,0.5794999999999999,Entrainement aux biais cognitifs,Kognitiv skjevhetstrening
no,settings:settings.gameMode.cognitiveBias,0.69,0.469,0.5794999999999999,Entrainement aux biais cognitifs,Kognitiv skjevhetstrening
ar,game:rewards.engagement.name,0.575,0.584,0.5794999999999999,Pass Engagement,تصريح الالتزام
zh,settings:settings.premium.cancelAnytime,0.563,0.596,0.5794999999999999,Sans engagement,无需长期承诺
mr,settings:settings.audio.feedbackSounds,0.594,0.565,0.5794999999999999,Sons de feedback,अभिप्राय आवाज
fa,game:game.cogTask.stroop.pressInkColorButton,0.704,0.455,0.5795,Appuyez sur le bouton de la couleur de l'écriture,دکمه‌ای رو بزن که با رنگ جوهر مطابقت داره
ta,settings:settings.audio.syncPreset,0.655,0.504,0.5795,Profil de synchronisation,ஒத்திசைவு முன்னமைவு
no,auth:auth.errors.sessionNotCreated,0.78,0.379,0.5795,Session non créée,Økt ikke opprettet
hu,game:game.frequencyDiscrimination.weberFraction,0.811,0.348,0.5795,Fraction de Weber,Weber-hányados
ru,game:game.cogTask.fixateCenter,0.749,0.41,0.5795,Fixez le centre...,Смотрите в центр…
tr,stats:stats.unifiedReport.slotAccuracy,0.753,0.406,0.5795,Précision par slot,Slot doğruluğu
te,settings:settings.ufov.distractorsDesc,0.662,0.497,0.5795,Nombre de distracteurs dans la sous-tâche d'attention sélective.,సెలెక్టివ్ అటెన్షన్ సబ్‌టాస్క్‌లో డిస్ట్రాక్టర్‌ల సంఖ్య.
el,stats:stats.placeholders.advancedEvolutionTitle,0.64,0.519,0.5795,Évolution avancée par mode,Προχωρημένες τάσεις ανά λειτουργία
es,game:game.cogTask.forwardMaxSpan,0.602,0.557,0.5795,Empan max avant,Amplitud máx. adelante
ur,stats:stats.contextual.sublines.falseAlarmsDetailedV2,0.769,0.39,0.5795,Non-cibles signalées : {{fa}}/{{nonTargets}}. Critère de match trop permissif.,Non-اہداف flagged: {{fa}}/{{nonTargets}}۔ مماثلت معیار ہے بہت نرم۔
my,settings:settings.gameMode.pursuitTrackingDesc,0.738,0.421,0.5795,Suivez une cible en mouvement avec un curseur.,ကာဆာဖြင့် ရွေ့လျားနေသော ပစ်မှတ်ကို လိုက်နာပါ။
fi,settings:settings.accessibility.reminderLabel,0.748,0.411,0.5795,Rappel d'entraînement,Harjoittelumuistutus
el,game:game.soundSweeps.upAccuracy,0.519,0.64,0.5795,Précision montant,Αυξημένη ακρίβεια
hu,game:game.auditoryDuration.weberFraction,0.811,0.348,0.5795,Fraction de Weber,Weber-hányados
sw,stats:stats.contextual.sublines.analystVariableRt,0.607,0.552,0.5795,Rythme variable sur la session. Fixez un tempo et validez un peu plus tard.,Muda wa majibu unaobadilika kwenye kipindi hiki. Kidokezo: tumia mdundo thabiti na ujibu baadaye kidogo.
tl,game:game.negativePriming.positivePrimingRt,0.742,0.417,0.5795,TR d'amorçage positif,Positibong Priming RT
ur,settings:settings.gameMode.categoryImplicitLearning,0.46,0.699,0.5795,Apprentissage implicite,السیکھنا الضمني
uk,game:game.frequencyDiscrimination.whichWasHigher,0.697,0.462,0.5795,Lequel était plus aigu ?,Що було вище?
hu,stats:stats.contextual.sublines.analystFallbackV2,0.706,0.453,0.5795,Bilan global : identifiez d'abord si c'est plutôt omission ou non-cible.,"Összességében: azonosítsa, hogy a minta inkább kihagyások vagy nem célválaszok."
nl,game:game.cogTask.paperFolding.foldSequenceHolePunch,0.699,0.46,0.5795,Séquence de pliage et perforation,Vouwvolgorde en perforatie
vi,settings:settings.corsi.highlightSpeed,0.7,0.459,0.5795,Vitesse d'illumination,Tốc độ nổi bật
uk,game:game.bart.adjustedAvgPumps,0.736,0.423,0.5795,Pompes moy. ajustées,Скориговані середні насоси
tl,game:rewards.congratulations,0.552,0.607,0.5795,Félicitations !,Binabati kita!
sw,game:game.auditoryFigureGround.patternPresent,0.715,0.444,0.5795,Motif présent ?,Mchoro upo?
en,game:game.soundSweeps.upAccuracy,0.632,0.527,0.5795,Précision montant,Up accuracy
sv,game:game.toj.title,0.71,0.449,0.5795,Jugement d'ordre temporel,Temporal Order Dome
hu,settings:settings.about.tagline,0.671,0.488,0.5795,Entraînement cérébral N-Back,N-Back agytréning
km,settings:settings.accessibility.hapticFeedback,0.658,0.501,0.5795,Retour haptique,មតិប្រតិកម្ម Haptic
pl,game:game.cogTask.timeEstimation.underestimationBias,0.498,0.661,0.5795,Biais de sous-estimation,Obciążenie niedoszacowania
bn,game:game.durationReproduction.vierordtSlope,0.799,0.36,0.5795,Pente de Vierordt,Vierordt ঢাল
zh,game:game.cogTask.falseAlarm,0.511,0.648,0.5795,Fausse alarme !,虚报！
uk,home:home.synergy.reportHeadlineGood,0.676,0.483,0.5795,Bonne boucle Synergie,Міцний цикл Синергії
km,settings:settings.accessibility.hapticEnabled,0.658,0.501,0.5795,Retour haptique,មតិប្រតិកម្ម Haptic
my,game:game.cogTask.touchStartClockwise,0.613,0.546,0.5795,Touchez le point de départ puis glissez dans le sens des aiguilles,စမှတ်ကို ထိပြီးနောက် နာရီလက်တံအတိုင်း ပွတ်ဆွဲပါ။
my,settings:settings.data.export.error,0.642,0.517,0.5795,Erreur lors de l'export,ထုတ်ယူရန် failed
id,settings:settings.trace.mindfulPositionTolerance,0.725,0.435,0.58,Tolérance geste,Toleransi isyarat
th,game:game.faceName.round1Accuracy,0.692,0.468,0.58,Précision manche 1,รอบที่ 1 ความแม่นยำ
sv,game:game.dualTrack.roundsAnalyzed,0.731,0.429,0.58,Manches analysées,Omgångar analyserade
pt,tutorial:tutorial.trace.swipe5,0.693,0.467,0.58,Excellent ! Vous maîtrisez le geste de rappel.,Excelente! Dominou o gesto de evocação.
sw,settings:settings.gameMode.prototypeDistortionDesc,0.718,0.442,0.58,Classifiez des patterns de points selon un prototype de catégorie,Bainisha ruwaza za nukta kuwa zinazomilikiwa na kategoria iliyobainishwa na mfano
hi,game:game.puzzle.totalDrags,0.717,0.443,0.58,Glissements totaux,कुल ड्रैग
ms,game:game.dualTrack.sessionEnPause,0.722,0.438,0.58,Session en pause,Sesi dijeda
zh,home:cognitive.profileSessionsCount,0.721,0.439,0.58,{{count}} parties,{{count}} 次会话
id,game:game.dualTrack.sessionEnPause,0.722,0.438,0.58,Session en pause,Sesi dijeda
tl,stats:stats.unifiedReport.bwMessages.down,0.73,0.43,0.58,Score insuffisant. Vous redescendez pour consolider.,Hindi sapat na marka. Bumalik ka upang pagsamahin.
ja,game:game.negativePriming.negativePrimingRt,0.725,0.435,0.58,TR d'amorçage négatif,ネガティブプライミングRT
tr,game:game.toj.title,0.688,0.472,0.58,Jugement d'ordre temporel,Geçici Karar Kararı
hi,settings:settings.premium.restoreFailed,0.463,0.697,0.58,Échec de la restauration,पुनर्स्थापना विफल
sw,stats:stats.simple.accuracyTrend,0.747,0.413,0.58,Tendance précision,Mwelekeo wa usahihi
ta,tutorial:tutorial.pick.rhythm,0.734,0.426,0.58,"En session, gardez un rythme régulier. La fluidité vient avec la pratique.","அமர்வில், ஒரு வழக்கமான தாளத்தை வைத்திருங்கள். திரவத்தன்மை நடைமுறையில் வருகிறது."
ar,home:home.synergy.reportHeadlineGood,0.572,0.588,0.58,Bonne boucle Synergie,حلقة تآزر متينة
fi,stats:stats.tooltips.omissionsDesc,0.726,0.434,0.58,Matchs manqués : quand il y avait un match mais vous n'avez pas répondu. Souvent lié à l'inattention.,Ohitetut osumat: osuvuus oli mutta et vastannut. Viittaa usein tarkkaamattomuuteen tai epävarmuuteen.
ms,stats:stats.unifiedReport.goToLevel,0.704,0.456,0.58,Relever le défi N-{level},Cabar N-{level}
ms,game:game.dualTime.sessionEnPause,0.722,0.438,0.58,Session en pause,Sesi dijeda
fi,stats:stats.journey.allDesc,0.738,0.422,0.58,Toutes les sessions de parcours,Kaikki matkaistunnot
id,game:game.dualTime.sessionEnPause,0.722,0.438,0.58,Session en pause,Sesi dijeda
sw,game:game.dualTrack.targetsCountLabel,0.595,0.565,0.58,{{count}} cibles,{{count}} lengwa
vi,game:game.puzzle.maxGridReached,0.702,0.458,0.58,Grille max atteinte,Đã đạt đến lưới tối đa
th,settings:settings.accessibility.reminderLabel,0.741,0.419,0.58,Rappel d'entraînement,การแจ้งเตือนการฝึกอบรม
ur,game:game.dualTrack.roundsCountLabel,0.701,0.459,0.58,{{count}} manches,{{count}} راؤنڈز
th,journey:journey.enabled,0.721,0.439,0.58,Activer le parcours,เปิดใช้เส้นทางฝึกฝน
ms,settings:settings.trace.mindfulPositionTolerance,0.725,0.435,0.58,Tolérance geste,Toleransi isyarat
hu,game:trace.settings.guide.swipeMindful,0.703,0.457,0.58,Glissez en {{seconds}} s,Húzd {{seconds}} mp alatt
tr,game:game.verbalFluency.roundComplete,0.644,0.516,0.5800000000000001,Manche terminée,Tur tamamlandı
fi,settings:settings.gameMode.mazeDesc,0.667,0.493,0.5800000000000001,Naviguez dans des labyrinthes du départ à l'arrivée. Planification spatiale.,Navigoi sokkeloissa alusta maaliin. Spatiaalinen suunnittelu.
sv,game:game.contextualCueing.oldConfigRt,0.76,0.4,0.5800000000000001,TR ancienne config.,Gammal Config RT
my,settings:settings.visual.controlsScale,0.5,0.66,0.5800000000000001,Échelle des contrôles,အတိုင်းအတာကို ထိန်းချုပ်သည်။
id,game:game.cogTask.longestStreak,0.79,0.37,0.5800000000000001,Plus longue série correcte,Garis benar terpanjang
cs,stats:stats.contextual.sublines.simpleBalancedExpertV2,0.609,0.551,0.5800000000000001,Modalités homogènes sur cette session.,Modality jsou v této relaci docela vyrovnané.
bn,game:game.cogTask.paperFolding.foldSequenceHolePunch,0.676,0.484,0.5800000000000001,Séquence de pliage et perforation,ভাঁজ ক্রম এবং গর্ত পাঞ্চ
tr,game:game.rapidNaming.roundComplete,0.644,0.516,0.5800000000000001,Manche terminée,Tur tamamlandı
my,settings:settings.brainworkshop.variableNBackDesc,0.648,0.512,0.5800000000000001,Le N varie pendant la session selon une distribution statistique,N သည် စာရင်းအင်းဆိုင်ရာ ဖြန့်ဝေမှုကို အသုံးပြုသည့် စက်ရှင်အတွင်း ကွဲပြားသည်။
en,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
da,game:game.mnemonicDiscrimination.patternSeparation,0.767,0.393,0.5800000000000001,Séparation de motifs,Mønsteradskillelse
sv,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
fi,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
nl,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
ms,settings:settings.modeSections.brainworkshop.tempo.subtitle,0.787,0.373,0.5800000000000001,"Ticks, extinction et rythme de présentation","Detik, pudar dan rentak pembentangan"
te,settings:settings.corsi.highlightSpeed,0.658,0.502,0.5800000000000001,Vitesse d'illumination,వేగాన్ని హైలైట్ చేయండి
vi,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
ms,game:game.puzzle.totalRemovals,0.518,0.642,0.5800000000000001,Retraits totaux,Jumlah penyingkiran
uk,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
en,game:game.changeBlindness.title,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
ur,stats:stats.unifiedReport.confidence.components.inhibitionHelp,0.775,0.385,0.5800000000000001,"Inhibition : moins il y a d'appuis sur des non-cibles (fausses alarmes), plus le score est élevé.","روک تھام: fewer non-ہدف presses (جھوٹے الارم), اونچا سکور۔"
el,auth:auth.signInSubtitle,0.648,0.512,0.5800000000000001,Retrouvez votre progression,Πρόσβαση στην πρόοδό σας
my,settings:settings.gameMode.speedSortDesc,0.641,0.519,0.5800000000000001,"Triez des cartes selon des règles qui changent, le plus vite possible. Flexibilité cognitive.",စီရန် cards by changing rules as fast as possible. Cognitive flexibility game.
ms,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
th,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
mr,game:game.cogTask.roundDetail,0.797,0.363,0.5800000000000001,Détail par round,गोलाकार तपशील
ta,settings:settings.ufov.distractors,0.645,0.515,0.5800000000000001,Distracteurs sélectifs,தேர்ந்தெடுக்கப்பட்ட கவனச்சிதறல்கள்
ta,stats:report.readingSpan.performanceBySpan,0.676,0.484,0.5800000000000001,Performance par niveau d'empan,இடைவெளி நிலை மூலம் செயல்திறன்
fa,game:game.wordList.primacyEffect,0.686,0.474,0.5800000000000001,Effet de primauté,اثر تقدم
id,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
sw,game:game.dichoticListening.title,0.661,0.499,0.5800000000000001,Écoute dichotique,Usikilizaji wa Dichotic
km,game:game.memobox.roundOf,0.758,0.402,0.5800000000000001,Manche {{current}} sur {{total}},ជុំទី {{current}} នៃ {{total}}
tr,game:game.designFluency.roundComplete,0.644,0.516,0.5800000000000001,Manche terminée,Tur tamamlandı
sv,stats:stats.contextual.sublines.analystFallback,0.676,0.484,0.5800000000000001,"{{correct}} bonnes réponses, {{errors}} erreurs. Cherchez d'abord le type d'erreur dominant.","{{correct}} korrekta svar, {{errors}} fel. Tips: identifiera om mönstret är utelämnanden eller icke-mål."
my,settings:settings.audio.feedbackSounds,0.639,0.521,0.5800000000000001,Sons de feedback,အကြံပြုချက် sounds
ur,game:game.wordList.serialPositionCurve,0.681,0.479,0.5800000000000001,Courbe de position sérielle,منحنى پوزیشن ترتیبي
km,settings:settings.presets.renameTitle,0.685,0.475,0.5800000000000001,Renommer le profil,ប្តូរឈ្មោះទម្រង់
th,stats:stats.contextual.sublines.simpleModalityGap,0.768,0.392,0.5800000000000001,Écart {{gap}}% : {{best}} au-dessus de {{worst}}.,ช่องว่าง {{gap}}%: {{best}} นำ {{worst}}
sw,settings:settings.gameMode.dichoticListening,0.661,0.499,0.5800000000000001,Écoute dichotique,Usikilizaji wa Dichotic
sw,settings:settings.dualTrack.hybridDnbBlockLabel,0.65,0.51,0.5800000000000001,Sessions Dual N-Back par boucle,Vipindi viwili vya N-Back kwa kila kitanzi
tr,settings:settings.gameMode.changeBlindness,0.554,0.606,0.5800000000000001,Cécité au changement,Change Blindness
ur,game:game.facialEmotion.topConfusions,0.614,0.546,0.5800000000000001,Principales confusions,اوپر confusions
vi,game:game.rhythm.tooFarOff,0.672,0.489,0.5805,Trop imprécis !,Xa quá!
cs,game:game.dualTrack.moveInstruction,0.701,0.46,0.5805,Déplacer l'instruction,Instrukce pro přesun
km,settings:settings.gameMode.confidenceCalibration,0.714,0.447,0.5805,Calibration de confiance,ការក្រិតតាមខ្នាតទំនុកចិត្ត
km,settings:settings.config.targetsHint,0.701,0.46,0.5805,Correspondances à trouver (stimulus = celui d'il y a N),ការប្រកួតដែលត្រូវស្វែងរក (ការជំរុញ = មួយពីជំហាន N មុន)
my,settings:settings.gameMode.categoryMemory,0.601,0.56,0.5805,Mémoire épisodique,ဇာတ်လမ်းမှတ်ဉာဏ်
th,game:game.crossModalMatching.title,0.67,0.491,0.5805,Appariement cross-modal,การจับคู่ข้ามโมดัล
no,legal:legal.mentions.title,0.693,0.468,0.5805,Mentions Légales,Juridisk varsel
ar,stats:stats.unifiedReport.hybridJourneyMessages.stayDecisionTitle,0.639,0.522,0.5805,Niveau conserve,المستوى مُحتفَظ به
ur,home:ospan.measure.retestDesc,0.739,0.422,0.5805,Seules les passations valides alimentent l'empan actuel et la courbe d'évolution.,موجودہ مدت اور ارتقاء کے چارٹ میں صرف درست انتظامیہ ہی حصہ ڈالتی ہیں۔
mr,settings:settings.gameMode.slantDesc,0.737,0.424,0.5805,Remplissez chaque case d'une diagonale. Les indices aux intersections montrent combien de diagonales touchent ce point.,प्रत्येक सेल कर्णरेषेने भरा. छेदनबिंदूंवरील संकेत संख्या दर्शवितात की किती कर्ण स्पर्श करतात.
tl,settings:settings.gameMode.remoteAssociates,0.698,0.463,0.5805,Associations lointaines,Mga Remote Associate
sw,settings:settings.mode.showProgressBar,0.636,0.525,0.5805,Barre de progression,Upau wa maendeleo
de,game:game.verbalFluency.roundComplete,0.697,0.464,0.5805,Manche terminée,Runde abgeschlossen
hu,settings:settings.trace.rhythmModeDesc,0.645,0.516,0.5805,Contrôle le tempo de la session,A munkamenet tempóját szabályozza
ta,settings:settings.brainworkshop.trialsFactorHint,0.703,0.458,0.5805,Multiplicateur de N^exposant (défaut: 1),N^அடுக்கியின் பெருக்கல் (இயல்பு: 1)
sw,game:game.dualTrack.distractorsCountLabel,0.748,0.413,0.5805,{{count}} distracteurs,{{count}} vipotoshi
de,game:game.cogTask.wasLetterInSet,0.759,0.402,0.5805,Cette lettre était-elle dans l'ensemble ?,Gehörte dieser Buchstabe zur Menge?
de,game:game.dualTrack.roundsCountLabel,0.733,0.428,0.5805,{{count}} manches,{{count}} Runden
sw,game:trace.settings.showProgressBar,0.636,0.525,0.5805,Barre de progression,Upau wa maendeleo
th,tutorial:tutorial.trace.tapTarget,0.716,0.445,0.5805,Tapez la position du tour précédent,แตะตำแหน่งของตาก่อนหน้า
da,game:game.feelingOfKnowing.recallAccuracy,0.745,0.416,0.5805,Précision de rappel,Genkald nøjagtighed
tl,settings:settings.gameMode.timePromem,0.705,0.456,0.5805,Prospective temporelle,Oras Prospective
th,game:game.taskJuggling.prematureResets,0.628,0.533,0.5805,Réinitialisations prématurées,รีเซ็ตก่อนกำหนด
uk,game:game.cogTask.falseAlarm,0.682,0.479,0.5805,Fausse alarme !,Помилкова тривога!
tl,home:ospan.measure.invalidCount,0.765,0.396,0.5805,{{count}} invalidées,{{count}} hindi wasto
de,game:game.rapidNaming.roundComplete,0.697,0.464,0.5805,Manche terminée,Runde abgeschlossen
th,settings:settings.gameMode.weatherPredictionDesc,0.679,0.482,0.5805,Apprenez des associations probabilistes indices-résultats.,เรียนรู้การเชื่อมโยงคิวและผลลัพธ์ที่น่าจะเป็น
